"Pass []","re(Mode(1)) [g]"
1,2.98524008786249
2,4.43960012441896
3,4.70048331807444
4,4.81882480032671
5,4.88475157336809
6,4.93137723917318
7,4.95969324504757
8,4.97939493417117
9,4.99413422417086
10,5.00551255141253
