"Pass []","re(Mode(1)) [g]"
1,1.77174650167621
2,3.57691980497901
3,4.44755802375973
4,4.86646876741591
5,5.09212349078462
6,5.19585984448887
7,5.26595695064783
8,5.32185190329893
9,5.35707150188079
10,5.38693232480958
11,5.4084926119912
12,5.42596077288874
13,5.44106641630793
14,5.45353928702908
15,5.46204084122352
